Student_ID,Gender,Age,Nationality,Province,Program_Level,Department,Year_of_Study,GPA,Attendance_Rate,Mental_Health_Score,Stress_Level,Sleep_Hours,Study_Hours,Monthly_Expenses,Scholarship_Status,Part_Time_Job,Hostel_Resident,Commute_Time,Transport_Mode,Internet_Access,Library_Usage,Canteen_Quality_Rating,Lab_Equipment_Access,Faculty_Satisfaction
PSY0001,Female,23,Afghan,Kabul,Masters,Psychology,1,3.18,92.5,5,6,8,2,47523,Yes,Yes,No,45,Bus,No,3,3,Good,5.0
ELE0002,Female,20,Indian,Kerala,Undergraduate,Electrical Engineering,4,2.78,68.1,9,5,4,1,40226,Yes,,No,13,Bike,No,4,3,Good,4.0
ELE0003,Female,24,Bangladeshi,Dhaka,Undergraduate,Electrical Engineering,3,3.79,73.4,7,4,4,2,37166,Yes,No,No,15,Walk,Yes,5,2,Average,5.0
MAT0004,Female,19,Afghan,Kabul,PhD,Mathematics,4,3.08,83.1,6,10,8,2,53676,Yes,Yes,Yes,58,Car,No,3,3,Poor,3.0
BIO0005,Male,22,Indian,Kerala,Masters,Biology,2,3.27,94.6,6,10,4,2,58479,No,No,No,17,Car,Yes,1,4,Good,2.0
COM0006,Female,22,Pakistani,Sindh,Masters,Computer Science,2,3.29,82.8,1,9,7,1,34151,Yes,Yes,No,32,Bike,Yes,6,1,Average,5.0
COM0007,Male,22,Pakistani,Balochistan,PhD,Computer Science,4,2.67,93.3,8,4,8,5,36593,Yes,Yes,Yes,48,Bus,Yes,6,3,Average,5.0
MAT0008,Male,28,Indian,Kerala,Masters,Mathematics,3,3.07,92.0,8,10,4,5,20565,Yes,Yes,No,54,Bus,No,4,2,Good,4.0
COM0009,Female,27,Indian,Delhi,Masters,Computer Science,2,3.1,94.6,9,7,6,2,23742,No,Yes,No,27,Car,Yes,6,4,Average,4.0
BUS0010,Male,26,Afghan,Herat,PhD,Business,3,3.55,94.8,9,1,7,3,21210,Yes,Yes,No,38,Walk,No,2,2,Average,3.0
COM0011,Male,22,Indian,Kerala,Masters,Computer Science,1,2.87,97.3,8,1,5,5,53798,Yes,No,Yes,14,Bus,Yes,7,4,Poor,2.0
PSY0012,Male,20,Pakistani,Balochistan,Undergraduate,Psychology,1,2.72,79.6,5,5,4,2,15983,Yes,No,Yes,37,Walk,Yes,6,4,Average,2.0
PSY0013,Female,23,Indian,Punjab,PhD,Compuer Science,1,2.55,80.6,7,10,8,2,40164,No,No,Yes,34,Car,Yes,3,5,Good,3.0
BIO0014,Female,26,Afghan,Herat,PhD,Biology,4,2.73,67.5,6,5,7,1,49974,Yes,No,No,29,Bike,No,0,5,Average,2.0
COM0015,Male,18,Afghan,Herat,Masters,Computer Science,2,3.19,82.9,3,4,8,4,43077,Yes,Yes,Yes,11,Walk,No,7,5,Average,4.0
MAT0016,Female,19,Pakistani,KPK,Masters,Mathematics,2,3.77,73.4,2,9,6,1,58717,No,Yes,No,45,Walk,No,6,5,Average,2.0
BUS0017,Female,28,Bangladeshi,Dhaka,PhD,Business,3,3.55,90.1,2,5,6,3,31070,Yes,No,No,7,Walk,Yes,4,2,Average,1.0
PSY0018,Female,28,Pakistani,KPK,PhD,Psychology,1,3.96,97.4,8,6,6,3,26634,No,Yes,Yes,34,Walk,No,7,5,Good,1.0
BUS0019,Female,23,Bangladeshi,Chittagong,PhD,,1,3.58,96.1,4,2,7,3,30117,Yes,No,Yes,15,Walk,No,5,5,Poor,4.0
COM0020,Male,27,Bangladeshi,Dhaka,PhD,Computer Science,1,2.62,74.5,3,2,8,2,41495,Yes,Yes,No,28,Bike,Yes,7,2,Poor,4.0
PSY0021,Female,25,Afghan,Herat,PhD,Psychology,4,3.88,70.9,3,2,7,2,44103,Yes,No,No,53,Car,Yes,4,1,Average,1.0
MAT0022,Male,26,Pakistani,Balochistan,PhD,Mathematics,3,2.66,92.2,2,7,8,3,44548,Yes,,No,34,Bike,Yes,2,3,Poor,1.0
COM0023,Female,21,Bangladeshi,Dhaka,Undergraduate,Computer Science,1,3.69,98.4,2,10,4,4,52558,Yes,Yes,Yes,33,Car,No,6,3,Poor,3.0
ELE0024,Female,18,Indian,Punjab,Masters,Electrical Engineering,2,2.15,90.0,6,7,5,2,30300,No,No,Yes,53,Car,Yes,7,3,Good,1.0
ELE0025,Male,25,Pakistani,Sindh,Masters,Electrical Engineering,4,3.22,80.1,3,6,8,1,17484,No,No,Yes,19,Bus,Yes,2,3,Good,4.0
PSY0026,Male,21,Indian,Punjab,Undergraduate,Psychology,2,2.81,96.4,8,3,5,1,47345,Yes,No,Yes,38,Walk,Yes,2,2,Good,2.0
MAT0027,Male,27,Afghan,Herat,PhD,Mathematics,1,3.36,86.0,6,9,5,2,23117,No,Yes,No,10,Car,No,4,4,Good,4.0
BIO0028,Female,23,Bangladeshi,Dhaka,Masters,Biology,2,3.14,86.3,6,1,6,3,33440,Yes,No,No,44,Car,Yes,3,3,Average,4.0
BIO0029,Male,21,Afghan,Herat,PhD,Biology,4,3.78,91.6,3,1,7,3,57497,No,No,No,28,Bike,Yes,5,2,Poor,3.0
MAT0030,Male,18,Bangladeshi,Dhaka,Masters,Mathematics,3,3.23,77.8,10,2,4,4,18785,No,Yes,No,40,Bus,Yes,6,2,Average,4.0
ELE0031,Female,25,Indian,Delhi,PhD,Electrical Engineering,1,3.0,65.1,4,6,8,4,33328,Yes,Yes,Yes,15,Walk,No,4,5,Good,3.0
BIO0032,Male,27,Bangladeshi,Dhaka,Masters,Biology,1,3.39,93.8,4,6,8,5,32287,No,Yes,Yes,29,Bus,No,7,1,Poor,2.0
BIO0033,Female,18,Bangladeshi,,Masters,Biology,3,2.7,68.5,6,3,4,4,17070,Yes,No,No,42,Car,No,4,4,Good,5.0
PSY0034,Female,21,Pakistani,KPK,Masters,Psychology,3,2.87,75.8,3,6,8,1,56747,No,Yes,No,45,Walk,No,7,3,Average,3.0
BIO0035,Male,22,Afghan,Kabul,Masters,Biology,4,3.04,98.8,10,1,5,4,27003,Yes,Yes,No,12,Bike,No,0,5,Average,2.0
ELE0036,Female,26,Bangladeshi,Chittagong,PhD,Electrical Engineering,2,2.96,69.2,9,6,7,1,55581,Yes,Yes,No,45,Bike,No,7,2,Poor,5.0
ELE0037,Female,20,Bangladeshi,Dhaka,Undergraduate,Electrical Engineering,4,3.15,66.7,2,4,8,2,55776,Yes,Yes,No,59,Walk,Yes,3,4,Average,5.0
BUS0038,Male,23,Pakistani,Balochistan,Undergraduate,Business,3,2.63,79.4,9,9,8,4,21374,Yes,No,No,8,Bike,Yes,7,3,Poor,5.0
PSY0039,Female,22,Indian,Kerala,Undergraduate,Psychology,2,3.37,69.5,1,1,8,2,38814,Yes,Yes,No,27,Walk,Yes,7,5,Poor,1.0
ELE0040,Female,27,Indian,Punjab,Masters,Electrical Engineering,2,2.15,79.8,3,7,5,2,26704,Yes,No,Yes,46,Bus,Yes,3,2,Average,1.0
MAT0041,Female,27,Afghan,Herat,Undergraduate,Mathematics,1,2.43,91.4,9,6,6,1,41424,Yes,Yes,Yes,58,Car,No,3,2,Average,2.0
ELE0042,Female,18,Bangladeshi,Chittagong,PhD,Electrical Engineering,1,3.17,82.4,3,8,7,4,55137,No,No,Yes,13,Walk,No,5,5,Poor,2.0
PSY0043,Female,25,Bangladeshi,Dhaka,Undergraduate,Psychology,2,3.64,81.7,4,7,6,3,25878,Yes,Yes,No,39,Walk,No,2,5,Poor,1.0
,Female,19,Pakistani,Sindh,Undergraduate,Computer Science,3,3.09,65.4,10,5,8,2,43831,No,No,No,35,Car,Yes,6,3,Average,1.0
BIO0045,Male,21,Bangladeshi,Chittagong,Masters,Biology,1,3.06,69.1,1,10,5,4,23318,Yes,No,No,19,Walk,Yes,2,2,Poor,1.0
COM0046,Male,24,Indian,Punjab,Undergraduate,Computer Science,3,3.04,68.4,7,1,7,3,22334,No,Yes,Yes,42,Bike,No,5,3,Good,3.0
PSY0047,Female,28,Afghan,Herat,PhD,Psychology,3,2.77,67.7,9,10,4,5,35358,Yes,No,No,13,Bike,No,2,2,Good,1.0
BIO0048,Female,22,Afghan,Herat,PhD,Biology,3,3.11,87.3,4,8,6,4,23990,Yes,Yes,Yes,44,Bus,Yes,2,1,Poor,3.0
COM0049,Female,28,Afghan,Kabul,Undergraduate,,1,2.8,67.9,10,2,5,2,47241,No,Yes,No,26,Bike,No,7,3,Poor,1.0
PSY0050,Female,18,Afghan,Herat,PhD,Psychology,4,3.45,86.4,4,6,6,1,40435,Yes,No,Yes,,Bus,Yes,7,2,Average,4.0
ELE0051,Female,19,Pakistani,KPK,PhD,Electrical Engineering,1,3.02,97.3,8,5,5,3,17227,No,Yes,Yes,6,Bus,No,6,1,Good,4.0
PSY0052,Male,21,Afghan,Herat,Undergraduate,Psychology,1,3.53,74.5,4,10,5,1,53533,Yes,No,Yes,43,Bike,No,5,1,Average,4.0
BIO0053,Female,19,Afghan,Kabul,Undergraduate,Biology,4,2.64,66.8,5,9,5,1,24847,Yes,No,Yes,46,Bus,No,4,4,,3.0
BIO0054,Female,20,Indian,Delhi,PhD,Biology,2,3.57,80.8,10,4,5,4,19641,No,No,Yes,18,Walk,No,1,2,Average,4.0
BUS0055,Male,22,Bangladeshi,Dhaka,Masters,Business,2,2.15,95.0,10,8,4,2,15187,Yes,Yes,No,57,Walk,No,2,3,Average,5.0
COM0056,Female,24,Pakistani,Balochistan,Undergraduate,Computer Science,1,2.98,88.7,9,7,8,2,46622,Yes,Yes,Yes,33,Walk,No,2,1,Poor,2.0
BIO0057,Female,25,Afghan,Herat,PhD,Biology,3,3.25,84.7,4,4,7,5,49253,No,No,No,18,Car,No,2,1,Poor,3.0
PSY0058,Male,21,Pakistani,KPK,Masters,Psychology,2,2.81,66.0,4,7,5,1,50314,No,No,No,18,Walk,No,0,2,Good,1.0
MAT0059,Male,20,Indian,Kerala,PhD,Mathematics,2,3.16,81.2,3,6,5,1,33933,Yes,Yes,No,42,Bike,No,7,1,Good,2.0
BUS0060,Male,22,Bangladeshi,Chittagong,Undergraduate,Business,4,2.9,70.0,9,3,4,3,18487,Yes,Yes,No,33,Walk,No,0,1,Good,3.0
BUS0061,Female,25,Bangladeshi,Dhaka,PhD,Business,4,2.55,73.2,2,5,6,2,36124,No,Yes,No,34,Bus,Yes,4,5,Good,5.0
PSY0062,Male,24,Pakistani,Balochistan,PhD,Psychology,1,2.95,85.6,10,3,8,5,33779,No,No,No,9,Bike,Yes,3,4,Poor,2.0
BIO0063,Male,21,Bangladeshi,Dhaka,Masters,Biology,2,3.46,72.1,9,10,5,2,36175,No,No,Yes,37,Walk,No,2,4,Good,2.0
PSY0064,Male,28,Pakistani,KPK,Masters,Psychology,2,2.95,97.0,7,4,7,3,32846,Yes,No,No,34,Bike,No,1,2,Average,2.0
MAT0065,Female,27,Indian,Punjab,Undergraduate,Mathematics,4,2.7,75.8,3,5,8,2,24726,No,No,Yes,36,Bike,No,6,2,Poor,2.0
BUS0066,Female,21,Bangladeshi,Chittagong,Masters,Business,4,3.09,85.0,4,6,8,2,53885,Yes,Yes,Yes,11,Bike,No,7,4,Average,2.0
